04-06 03:48:57.947 32035 32093 V BtGatt.ScanHelper: onScanResult() - eventType=0x1b, addressType=0, address=30:AF:7E:BE:89:C3, primaryPhy=1, secondaryPhy=0, advertisingSid=0xff, txPower=127, rssi=-90, periodicAdvInt=0x0, originalAddress=00:00:00:00:00:00
04-06 03:48:57.972 32035 32093 V BtGatt.ScanHelper: onScanResult() - eventType=0x1b, addressType=0, address=30:AF:7E:BE:89:C3, primaryPhy=1, secondaryPhy=0, advertisingSid=0xff, txPower=127, rssi=-89, periodicAdvInt=0x0, originalAddress=00:00:00:00:00:00
04-06 03:48:58.017 32035 32093 V BtGatt.ScanHelper: onScanResult() - eventType=0x10, addressType=0, address=30:AF:7E:BE:89:C3, primaryPhy=1, secondaryPhy=0, advertisingSid=0xff, txPower=127, rssi=-85, periodicAdvInt=0x0, originalAddress=00:00:00:00:00:00
04-06 03:48:58.022 32035 32093 V BtGatt.ScanHelper: onScanResult() - eventType=0x1b, addressType=0, address=30:AF:7E:BE:89:C3, primaryPhy=1, secondaryPhy=0, advertisingSid=0xff, txPower=127, rssi=-83, periodicAdvInt=0x0, originalAddress=00:00:00:00:00:00
04-06 03:48:58.079 32035 32093 V BtGatt.ScanHelper: onScanResult() - eventType=0x1b, addressType=0, address=30:AF:7E:BE:89:C3, primaryPhy=1, secondaryPhy=0, advertisingSid=0xff, txPower=127, rssi=-83, periodicAdvInt=0x0, originalAddress=00:00:00:00:00:00
04-06 03:48:58.082 32035 32093 V BtGatt.ScanHelper: onScanResult() - eventType=0x10, addressType=1, address=09:08:4A:47:6D:E9, primaryPhy=1, secondaryPhy=0, advertisingSid=0xff, txPower=127, rssi=-50, periodicAdvInt=0x0, originalAddress=00:00:00:00:00:00
04-06 03:48:58.103 32035 32093 V BtGatt.ScanHelper: onScanResult() - eventType=0x1b, addressType=0, address=30:AF:7E:BE:89:C3, primaryPhy=1, secondaryPhy=0, advertisingSid=0xff, txPower=127, rssi=-89, periodicAdvInt=0x0, originalAddress=00:00:00:00:00:00
04-06 03:48:58.118 32035 32093 V BtGatt.ScanHelper: onScanResult() - eventType=0x10, addressType=0, address=30:AF:7E:BE:89:C3, primaryPhy=1, secondaryPhy=0, advertisingSid=0xff, txPower=127, rssi=-89, periodicAdvInt=0x0, originalAddress=00:00:00:00:00:00
04-06 03:48:58.151 32035 32093 V BtGatt.ScanHelper: onScanResult() - eventType=0x1b, addressType=0, address=30:AF:7E:BE:89:C3, primaryPhy=1, secondaryPhy=0, advertisingSid=0xff, txPower=127, rssi=-89, periodicAdvInt=0x0, originalAddress=00:00:00:00:00:00
04-06 03:48:58.171 32035 32093 V BtGatt.ScanHelper: onScanResult() - eventType=0x1b, addressType=0, address=00:13:43:D5:21:5D, primaryPhy=1, secondaryPhy=0, advertisingSid=0xff, txPower=127, rssi=-66, periodicAdvInt=0x0, originalAddress=00:00:00:00:00:00
04-06 03:48:58.176 32035 32093 V BtGatt.ScanHelper: onScanResult() - eventType=0x1b, addressType=0, address=30:AF:7E:BE:89:C3, primaryPhy=1, secondaryPhy=0, advertisingSid=0xff, txPower=127, rssi=-89, periodicAdvInt=0x0, originalAddress=00:00:00:00:00:00
04-06 03:48:58.183 32035 32093 V BtGatt.ScanHelper: onScanResult() - eventType=0x10, addressType=1, address=09:08:4A:47:6D:E9, primaryPhy=1, secondaryPhy=0, advertisingSid=0xff, txPower=127, rssi=-51, periodicAdvInt=0x0, originalAddress=00:00:00:00:00:00
04-06 03:48:58.187 32035 32093 V BtGatt.ScanHelper: onScanResult() - eventType=0x10, addressType=0, address=D0:03:DF:8E:81:83, primaryPhy=1, secondaryPhy=0, advertisingSid=0xff, txPower=127, rssi=-95, periodicAdvInt=0x0, originalAddress=00:00:00:00:00:00
04-06 03:48:58.190 32035 32093 V BtGatt.ScanHelper: onScanResult() - eventType=0x1b, addressType=1, address=60:EA:6C:06:08:DF, primaryPhy=1, secondaryPhy=0, advertisingSid=0xff, txPower=127, rssi=-96, periodicAdvInt=0x0, originalAddress=00:00:00:00:00:00
04-06 03:48:58.198 32035 32093 V BtGatt.ScanHelper: onScanResult() - eventType=0x1b, addressType=0, address=30:AF:7E:BE:89:C3, primaryPhy=1, secondaryPhy=0, advertisingSid=0xff, txPower=127, rssi=-88, periodicAdvInt=0x0, originalAddress=00:00:00:00:00:00
04-06 03:48:58.219 32035 32093 V BtGatt.ScanHelper: onScanResult() - eventType=0x1b, addressType=0, address=30:AF:7E:BE:89:C3, primaryPhy=1, secondaryPhy=0, advertisingSid=0xff, txPower=127, rssi=-89, periodicAdvInt=0x0, originalAddress=00:00:00:00:00:00
04-06 03:48:58.227 32035 32093 V BtGatt.ScanHelper: onScanResult() - eventType=0x10, addressType=0, address=30:AF:7E:BE:89:C3, primaryPhy=1, secondaryPhy=0, advertisingSid=0xff, txPower=127, rssi=-89, periodicAdvInt=0x0, originalAddress=00:00:00:00:00:00
04-06 03:48:58.244 32035 32093 V BtGatt.ScanHelper: onScanResult() - eventType=0x1b, addressType=0, address=30:AF:7E:BE:89:C3, primaryPhy=1, secondaryPhy=0, advertisingSid=0xff, txPower=127, rssi=-90, periodicAdvInt=0x0, originalAddress=00:00:00:00:00:00
04-06 03:48:58.267 32035 32093 V BtGatt.ScanHelper: onScanResult() - eventType=0x1b, addressType=0, address=30:AF:7E:BE:89:C3, primaryPhy=1, secondaryPhy=0, advertisingSid=0xff, txPower=127, rssi=-89, periodicAdvInt=0x0, originalAddress=00:00:00:00:00:00
04-06 03:48:58.284 32035 32093 V BtGatt.ScanHelper: onScanResult() - eventType=0x10, addressType=1, address=09:08:4A:47:6D:E9, primaryPhy=1, secondaryPhy=0, advertisingSid=0xff, txPower=127, rssi=-49, periodicAdvInt=0x0, originalAddress=00:00:00:00:00:00
04-06 03:48:58.291 32035 32093 V BtGatt.ScanHelper: onScanResult() - eventType=0x1b, addressType=0, address=30:AF:7E:BE:89:C3, primaryPhy=1, secondaryPhy=0, advertisingSid=0xff, txPower=127, rssi=-89, periodicAdvInt=0x0, originalAddress=00:00:00:00:00:00
04-06 03:48:58.318 32035 32093 V BtGatt.ScanHelper: onScanResult() - eventType=0x1b, addressType=0, address=30:AF:7E:BE:89:C3, primaryPhy=1, secondaryPhy=0, advertisingSid=0xff, txPower=127, rssi=-83, periodicAdvInt=0x0, originalAddress=00:00:00:00:00:00
04-06 03:48:58.325 32035 32093 V BtGatt.ScanHelper: onScanResult() - eventType=0x10, addressType=0, address=30:AF:7E:BE:89:C3, primaryPhy=1, secondaryPhy=0, advertisingSid=0xff, txPower=127, rssi=-85, periodicAdvInt=0x0, originalAddress=00:00:00:00:00:00
04-06 03:48:58.343 32035 32093 V BtGatt.ScanHelper: onScanResult() - eventType=0x1b, addressType=0, address=30:AF:7E:BE:89:C3, primaryPhy=1, secondaryPhy=0, advertisingSid=0xff, txPower=127, rssi=-83, periodicAdvInt=0x0, originalAddress=00:00:00:00:00:00
04-06 03:48:58.371 32035 32093 V BtGatt.ScanHelper: onScanResult() - eventType=0x1b, addressType=0, address=30:AF:7E:BE:89:C3, primaryPhy=1, secondaryPhy=0, advertisingSid=0xff, txPower=127, rssi=-83, periodicAdvInt=0x0, originalAddress=00:00:00:00:00:00
04-06 03:48:58.386 32035 32093 V BtGatt.ScanHelper: onScanResult() - eventType=0x10, addressType=1, address=09:08:4A:47:6D:E9, primaryPhy=1, secondaryPhy=0, advertisingSid=0xff, txPower=127, rssi=-52, periodicAdvInt=0x0, originalAddress=00:00:00:00:00:00
04-06 03:48:58.398 32035 32093 V BtGatt.ScanHelper: onScanResult() - eventType=0x1b, addressType=0, address=30:AF:7E:BE:89:C3, primaryPhy=1, secondaryPhy=0, advertisingSid=0xff, txPower=127, rssi=-83, periodicAdvInt=0x0, originalAddress=00:00:00:00:00:00
04-06 03:48:58.408 32035 32093 V BtGatt.ScanHelper: onScanResult() - eventType=0x1b, addressType=1, address=42:C9:59:B8:F2:37, primaryPhy=1, secondaryPhy=0, advertisingSid=0xff, txPower=127, rssi=-105, periodicAdvInt=0x0, originalAddress=00:00:00:00:00:00
04-06 03:48:58.419 32035 32093 V BtGatt.ScanHelper: onScanResult() - eventType=0x1b, addressType=0, address=30:AF:7E:BE:89:C3, primaryPhy=1, secondaryPhy=0, advertisingSid=0xff, txPower=127, rssi=-88, periodicAdvInt=0x0, originalAddress=00:00:00:00:00:00
